# ['T_xacc', 'T_yacc', 'T_zacc', 'T_xgyro', 'T_ygyro', 'T_zgyro', 'T_xmag', 'T_ymag', 'T_zmag', 'RA_xacc', 'RA_yacc', 'RA_zacc', 'RA_xgyro', 'RA_ygyro', 'RA_zgyro', 'RA_xmag', 'RA_ymag', 'RA_zmag', 'LA_xacc', 'LA_yacc', 'LA_zacc', 'LA_xgyro', 'LA_ygyro', 'LA_zgyro', 'LA_xmag', 'LA_ymag', 'LA_zmag', 'RL_xacc', 'RL_yacc', 'RL_zacc', 'RL_xgyro', 'RL_ygyro', 'RL_zgyro', 'RL_xmag', 'RL_ymag', 'RL_zmag', 'LL_xacc', 'LL_yacc', 'LL_zacc', 'LL_xgyro', 'LL_ygyro', 'LL_zgyro', 'LL_xmag', 'LL_ymag', 'LL_zmag', 'var_T_xacc', 'var_T_yacc', 'var_T_zacc', 'var_T_xgyro', 'var_T_ygyro', 'var_T_zgyro', 'var_T_xmag', 'var_T_ymag', 'var_T_zmag', 'var_RA_xacc', 'var_RA_yacc', 'var_RA_zacc', 'var_RA_xgyro', 'var_RA_ygyro', 'var_RA_zgyro', 'var_RA_xmag', 'var_RA_ymag', 'var_RA_zmag', 'var_LA_xacc', 'var_LA_yacc', 'var_LA_zacc', 'var_LA_xgyro', 'var_LA_ygyro', 'var_LA_zgyro', 'var_LA_xmag', 'var_LA_ymag', 'var_LA_zmag', 'var_RL_xacc', 'var_RL_yacc', 'var_RL_zacc', 'var_RL_xgyro', 'var_RL_ygyro', 'var_RL_zgyro', 'var_RL_xmag', 'var_RL_ymag', 'var_RL_zmag', 'var_LL_xacc', 'var_LL_yacc', 'var_LL_zacc', 'var_LL_xgyro', 'var_LL_ygyro', 'var_LL_zgyro', 'var_LL_xmag', 'var_LL_ymag', 'var_LL_zmag', 'person_index']
7.521389516129032948e+00,-6.743014516129034464e-01,6.312108870967739982e+00,4.544327919354839568e-03,1.827864809596773180e-02,-3.180926532258064165e-03,-6.098463709677419686e-01,-4.261345967741934637e-01,-1.849962903225807753e-01,-2.883873387096773655e+00,9.353972580645159240e+00,-3.547637903225808187e-01,9.136220967741932181e-03,-4.819902500000000645e-03,-2.664933870967735920e-05,2.553695967741935746e-01,-4.474020967741936250e-01,5.632374193548387309e-01,-4.556916129032260177e-01,-9.361886290322575022e+00,2.999335483870968044e+00,-2.491270564516128577e-03,-5.204075080645163137e-03,-9.438765322580647960e-03,-5.317095967741933826e-01,5.282458870967737807e-01,-2.696059677419354039e-01,-5.128039516129031306e+00,8.110092741935483573e+00,1.920123387096773770e+00,7.213902419354838299e-04,8.300594677419356401e-03,-6.768897185483869865e-03,5.288029032258065865e-01,-8.202871774193548626e-02,-4.860754032258062796e-01,-6.997870161290326685e+00,-6.879710483870968396e+00,-4.440123387096774898e-01,-1.624249354838709766e-03,1.763163629032257805e-03,-3.757244354838710360e-03,6.239677419354840993e-01,5.867553225806452361e-02,4.675122580645159620e-01,6.476186804110300142e-04,7.931847124089490535e-04,1.323255324531736948e-03,2.492459975380314965e-04,1.309021383643710010e-04,9.980735499056296145e-05,7.824391344302808796e-05,4.822678774063476187e-05,7.295820881893856939e-05,4.048917917533823084e-04,3.553786030176916597e-04,5.066963703108738181e-04,1.646211661408506649e-04,1.275046338037704439e-04,2.136646395712682802e-04,5.516403451482828761e-05,8.802989076482829289e-05,7.938504495317371084e-05,2.168943441727367791e-04,8.637689249479770437e-04,1.994401925078043765e-04,1.645869393111198920e-04,1.271264828673314082e-04,1.311634377719425885e-04,8.533967967611864056e-05,6.705523711628523921e-05,8.283660793444333709e-05,2.489499707336108899e-04,2.151027699011425149e-04,3.370259853017687425e-04,1.703419330305362559e-04,1.594893031435167625e-04,1.261961341796483994e-04,6.545629157127984743e-05,8.551905173484651503e-05,4.727518451482823862e-05,2.554267709417266941e-04,2.858388417013541872e-04,2.577725904981790247e-04,1.037811921756850753e-04,1.244080044703651101e-04,1.300566507376148381e-04,7.861259006243502838e-05,7.696882323283037381e-05,5.255475135275752282e-05,1.000000000000000000e+00
7.522185483870968525e+00,-6.505113709677419198e-01,6.293012903225807086e+00,3.288557072580643864e-03,1.908311483870967981e-02,1.733665645161289745e-03,-6.109577419354838002e-01,-4.252484677419354764e-01,-1.849955645161290574e-01,-2.889803225806451881e+00,9.348234677419357652e+00,-3.675232258064516921e-01,7.000896177419359094e-03,-4.923040266129032061e-03,2.419441612903223385e-04,2.567670161290322439e-01,-4.456095161290321016e-01,5.642708870967743096e-01,-4.525254032258063663e-01,-9.361226612903227107e+00,2.991705645161289784e+00,-1.924326975806451775e-03,-1.671340411290322655e-03,-6.961079823387100046e-03,-5.295027419354838560e-01,5.270665322580644352e-01,-2.686324193548386141e-01,-5.126555645161289476e+00,8.113743548387095217e+00,1.918510483870967898e+00,7.930975806451611701e-04,8.829220645161291181e-03,-5.347503629032258551e-03,5.291116129032257254e-01,-8.292668548387095717e-02,-4.859463709677419585e-01,-6.991956451612902690e+00,-6.898804838709675202e+00,-3.577899193548387258e-01,-3.123354193548386146e-03,-5.063925000000002105e-03,-6.216366935483871002e-03,6.260055645161289872e-01,6.366083870967743918e-02,4.657475000000000365e-01,5.446834989594159012e-04,8.439995811849634443e-04,1.523894510926119585e-03,2.356301823557877429e-04,2.458273311591797797e-04,1.195980422908745808e-04,5.842867715920916207e-05,5.800824523283035092e-05,5.991497306841830461e-05,5.251849895941731452e-04,4.497701684443246761e-04,2.827565960457855917e-04,8.216621110695247472e-05,9.546636005650115846e-05,1.184139765031912075e-04,6.604707254812694299e-05,6.471601266909470440e-05,5.289064034209156319e-05,3.092600312890217244e-04,1.053502275624352766e-03,2.718300487773154975e-04,1.754162213817789999e-04,1.210159251588853251e-04,1.055172789432828461e-04,6.307252796566074177e-05,8.518444845863687377e-05,7.378455704994799536e-05,1.907095649063474281e-04,1.991671357960417689e-04,4.734214223465142268e-04,1.036463918283183028e-04,1.275941111049237622e-04,1.296797505118618351e-04,1.058431377211237944e-04,7.914976329624090771e-05,5.663185053980224448e-05,4.968589099895916877e-04,7.975393314255989829e-04,7.731963892735433004e-03,1.286688778726179105e-04,3.394837643784767082e-04,1.179720540712647604e-04,7.821720210067633640e-05,9.566015849011442671e-05,8.458897681451608465e-05,1.000000000000000000e+00
7.542970161290323716e+00,-6.287594354838712540e-01,6.282576612903224778e+00,2.281492741935483952e-03,1.896359596774194883e-02,-1.037463869354837654e-03,-6.095135483870968152e-01,-4.254380645161290331e-01,-1.807179032258063867e-01,-2.893398387096774105e+00,9.347973387096770281e+00,-3.874974193548385015e-01,1.038645024193548400e-02,-4.028623225806452803e-03,-1.120691693548386521e-03,2.545433064516128274e-01,-4.447746774193549468e-01,5.635542741935484212e-01,-4.332525806451611450e-01,-9.362292741935481999e+00,2.980263709677418049e+00,5.548149193548388303e-04,-3.773133308467741063e-03,-7.877363064516125155e-03,-5.305438709677418041e-01,5.279272580645162360e-01,-2.675967741935482702e-01,-5.129216129032259097e+00,8.113378225806448185e+00,1.914575806451613182e+00,-1.283331097580644922e-03,9.053924435483870839e-03,-4.007532040322581493e-03,5.276346774193547695e-01,-8.184508870967741045e-02,-4.857198387096776093e-01,-6.964133064516128790e+00,-6.928937903225809158e+00,-2.365216129032258752e-01,-1.837536693548387197e-03,-3.138432983870967797e-03,-4.145606935483871387e-03,6.280972580645161063e-01,7.128624999999998157e-02,4.618525806451611038e-01,4.600358031997924522e-04,6.870718053264827279e-04,1.738126146592092625e-03,3.116461060751069272e-04,2.360119056189354208e-04,1.223701083144496766e-04,9.048188257023929298e-05,6.515303173777316713e-05,6.546512302289282789e-05,3.651188683662844200e-04,4.642967917533798194e-04,3.603582772112383609e-04,1.131358398062460224e-04,1.024396602168734535e-04,1.253602013592173105e-04,6.781219309963581663e-05,1.034288781217481535e-04,7.459180673126949242e-05,6.735158643080126030e-04,9.147085763527576996e-04,5.632455378511961762e-04,1.930143952020894839e-04,1.411607491767662885e-04,1.161355309736406238e-04,8.665927372528620988e-05,8.479948764308000851e-05,8.858726701352756451e-05,1.562728043704475251e-04,1.939689613683635351e-04,4.166450598335064690e-04,1.432182364489290635e-04,1.750812662977972083e-04,9.447557681015558055e-05,7.041026683142561921e-05,8.401595977438866862e-05,6.026501449011447786e-05,2.554493099635782825e-04,2.565252568938603656e-04,1.991445990114464049e-04,1.376489530441785765e-04,1.391648839736693262e-04,1.061924876953083887e-04,7.927553280437049069e-05,8.926436636491937710e-05,7.282173366285125515e-05,1.000000000000000000e+00
7.544191935483873124e+00,-6.154529838709676959e-01,6.275454032258066306e+00,3.262739032258063152e-03,2.186388306451612917e-02,-2.169669112903225769e-03,-6.100731451612904088e-01,-4.257455645161293267e-01,-1.802410483870966473e-01,-2.901708870967741216e+00,9.340040322580646759e+00,-3.955078225806451520e-01,8.319266880645166673e-03,-4.422886806451611225e-03,1.302355080645161822e-03,2.530853225806452000e-01,-4.432576612903227353e-01,5.630883064516127856e-01,-4.264566129032257846e-01,-9.363040322580642894e+00,2.986137903225806856e+00,-2.426984112903225917e-03,-6.883748548387098182e-03,-7.542976693548387838e-03,-5.310933064516126789e-01,5.262747580645160683e-01,-2.673850806451613105e-01,-5.126349193548385585e+00,8.114580645161289851e+00,1.911057258064515763e+00,3.749342177419354074e-03,1.082991370967741757e-02,-6.302422193548384149e-03,5.268911290322579877e-01,-8.246421774193544996e-02,-4.846466129032257486e-01,-6.024299193548389830e+00,-7.654111290322577865e+00,1.296830645161290096e+00,1.403198069112903124e-01,-3.690548290322580305e-02,-1.076821899112903047e-01,6.295320161290320904e-01,2.539402258064515916e-01,3.856887903225806880e-01,4.106576768990639632e-04,8.581429773868368268e-04,1.490133774063478501e-03,3.098625304739296982e-04,2.154855843096325943e-04,1.372117137530532273e-04,5.614992801118628892e-05,6.256663274583765591e-05,6.748917873959414714e-05,1.823235647112383083e-03,7.476678902185207891e-04,4.246357492911028808e-04,1.198944575086358626e-04,9.760217362026957417e-05,1.193442639962798211e-04,8.398577973465137445e-05,6.548060824011447370e-05,5.886000600286164861e-05,5.349181594953173477e-04,1.012862245057229073e-03,6.363489665712802760e-04,1.690864555822855066e-04,1.496377704792914421e-04,1.033654593274398501e-04,6.217494309963579873e-05,7.648119107049943064e-05,6.735030563865764984e-05,6.068242735431827366e-04,1.880772689906344249e-03,1.318066156997919555e-03,1.778420035671784223e-04,1.327086832063168419e-04,1.219013741001995866e-04,8.357288420915701588e-05,5.609354091226584490e-05,5.077903852757543356e-05,1.005354721209027025e+00,8.637533632414155782e-02,5.236007059643132067e+00,7.081337425259940366e-01,1.543678588119281880e-01,1.628583191213221759e-01,1.150076919029656723e-04,2.652676890319981447e-03,6.174700477302284699e-04,1.000000000000000000e+00
7.550894354838707301e+00,-6.005205645161290073e-01,6.270436290322582984e+00,4.387601532258064534e-03,1.977590112903225908e-02,-6.328917338709681706e-03,-6.083587903225805560e-01,-4.261270967741935811e-01,-1.759917741935483337e-01,-2.904538709677420005e+00,9.339323387096778006e+00,-3.973914516129032348e-01,1.227675564516129275e-02,-3.757483548387099016e-03,3.250508467741935071e-03,2.522624193548386184e-01,-4.411494354838710885e-01,5.621851612903225881e-01,-4.125058870967742708e-01,-9.363433064516128113e+00,2.980655645161290668e+00,-3.929297838709678962e-03,-4.346905483870970935e-03,-9.559329919354842345e-03,-5.313391129032257743e-01,5.256707258064517996e-01,-2.656411290322581165e-01,-5.121448387096775967e+00,8.114230645161295996e+00,1.920434677419355918e+00,-1.306583951612902460e-03,8.830547822580645315e-03,-5.029162524193549026e-03,5.250574193548388502e-01,-8.251428225806456407e-02,-4.852808064516128672e-01,-5.606324193548386958e+00,-7.838733870967740991e+00,2.013022580645161153e+00,1.706176774193548682e-03,8.792010483870966574e-04,-4.833282419354839425e-03,6.267512903225805898e-01,2.816027419354839023e-01,3.709151612903224815e-01,4.412002100676371582e-04,9.216433472619673219e-04,1.133871989464099251e-03,2.370927763616805905e-04,2.060396515254149551e-04,1.169926109295631037e-04,6.062068160119666595e-05,7.725326737773155527e-05,5.972113717481789777e-05,2.794252757544229602e-04,4.094135659469292049e-04,3.748510656347554901e-04,1.042042742985972709e-04,1.314938791632261567e-04,1.376777522911834799e-04,6.943476995317379534e-05,6.811142468132149375e-05,8.238868787721128500e-05,9.231089242130593401e-04,8.474325357700291045e-04,4.957594036160245217e-04,1.853905295901175129e-04,1.413050932400699243e-04,1.702103644542216966e-04,6.541010485822057539e-05,5.718642769901145865e-05,8.940782291883454943e-05,2.193479812695110396e-04,2.470768028095724454e-04,3.937004910249738564e-04,8.441209191413520207e-05,1.520188215964945262e-04,1.126146998121009714e-04,6.474116430801249032e-05,8.603928175097553101e-05,7.953032999479703769e-05,3.710392533818924901e-04,1.943733688865771723e-04,8.625454578564002977e-04,1.625375517808121822e-04,1.397207647630319789e-04,1.421971889090618900e-04,7.219088059313222489e-05,1.049477731269510733e-04,8.072467819979188010e-05,1.000000000000000000e+00
7.549600806451620016e+00,-5.950447580645162882e-01,6.278497580645162834e+00,2.255650403225806146e-03,1.485478524193548436e-02,-2.875594435483872034e-03,-6.082766935483875370e-01,-4.230617741935485121e-01,-1.759947580645162268e-01,-2.910603225806450478e+00,9.342591935483868681e+00,-4.042428225806450892e-01,1.249998951612903315e-02,-1.856277338709676986e-03,-1.457039274193548109e-03,2.508785483870968336e-01,-4.397309677419353746e-01,5.624532258064516288e-01,-4.092624193548385914e-01,-9.366355645161288379e+00,2.988483064516128884e+00,-3.220433709677417936e-03,-3.225070427419354270e-03,-8.662059516129036810e-03,-5.306446774193548377e-01,5.224239516129028926e-01,-2.649765322580644455e-01,-5.117958064516129113e+00,8.114299193548385247e+00,1.927090322580644166e+00,1.155689088709677299e-03,8.451666854838708540e-03,-5.794236854838709719e-03,5.239763709677418557e-01,-8.179204032258061141e-02,-4.822014516129030093e-01,-5.495941935483871887e+00,-7.853133870967743846e+00,2.239922580645160366e+00,3.321231120967743644e-02,-1.130220275483871314e-02,-1.667614120967741975e-02,6.227909677419354306e-01,2.950307258064516214e-01,3.598081451612902826e-01,6.424205638657652694e-04,1.031929916876951105e-03,2.366698300598335698e-03,2.472475243163507253e-04,1.983001140661748765e-04,1.478729551353279083e-04,8.709496890608743169e-05,8.078110975546304382e-05,6.705706687695112578e-05,2.596419250780445114e-04,4.787309027055154458e-04,6.013784815491671470e-04,1.334498483752933587e-04,8.172385239839694655e-05,1.192716464468776669e-04,6.811562047346516311e-05,9.067547970863690352e-05,7.963829281997915972e-05,1.196612311888657588e-03,8.503366616805429698e-04,5.870186648022900642e-04,1.271015581121571992e-04,1.567225532100965284e-04,1.504044222504997345e-04,5.443042489594169907e-05,6.366447067507810119e-05,9.773116620057235090e-05,2.496780801248697692e-04,2.612876606399569860e-04,2.988305515088451945e-04,1.164703356471282836e-04,2.025358922827828962e-04,1.376521400445522786e-04,9.626624247528616331e-05,7.785433182901923556e-05,6.053904144120707156e-05,6.846088886576479939e-03,2.017585304370451710e-03,3.579314432882414743e-02,4.246760454836464964e-03,3.747038284452528217e-04,3.912600044169429309e-04,6.095349099895945100e-05,1.907984373764308613e-04,1.286302280111863139e-04,1.000000000000000000e+00
7.550025000000002429e+00,-5.853070967741935693e-01,6.289837903225810933e+00,-2.226971556451612985e-03,1.935018112903226159e-02,-2.058422661290321837e-03,-6.055934677419356760e-01,-4.230954838709677923e-01,-1.729272580645161983e-01,-2.925558870967742031e+00,9.339015322580641154e+00,-4.164825000000001443e-01,8.780312177419355435e-03,-3.422440322580646340e-03,5.146454032258066837e-04,2.496229032258064917e-01,-4.371154838709678248e-01,5.603542741935487737e-01,-4.142131451612905413e-01,-9.360547580645159016e+00,2.997887096774192184e+00,-1.048295887096774162e-03,-3.417957709677419808e-03,-4.535929137096775081e-03,-5.273183064516131502e-01,5.223406451612900847e-01,-2.631894354838710259e-01,-5.113613709677419905e+00,8.118408870967741109e+00,1.935681451612903059e+00,-8.334677419354892769e-06,8.669838467741936353e-03,-8.120642661290323680e-03,5.231287096774190903e-01,-8.002968548387093262e-02,-4.810886290322581860e-01,-5.243758870967741181e+00,-7.804308064516130017e+00,2.938919354838710252e+00,1.204780532258064620e-02,5.892941129032255865e-04,-8.285906612903223833e-03,6.227287096774193342e-01,3.382556451612904191e-01,3.235330645161291208e-01,4.743326814516122592e-04,4.772606335067638875e-04,1.991981708506762681e-03,2.681261602321718647e-04,2.773262549460277161e-04,1.295351059792324553e-04,7.257344039412069140e-05,5.918131186264305173e-05,6.226224248178980931e-05,2.635737116285124843e-04,2.351927490894899350e-04,2.424859348790323087e-04,1.659624298565427975e-04,9.846168587321285713e-05,1.646569189493459027e-04,7.630248511966700111e-05,9.030134250780436013e-05,6.588057447320489976e-05,4.936110038176376403e-04,5.202973328564009393e-04,3.074999947970865895e-04,1.199870273461307055e-04,1.553085352876842115e-04,1.368078438857974703e-04,7.017740438995838446e-05,6.610062377731531699e-05,8.351814564906344352e-05,1.267439249479710957e-04,2.832396793704473935e-04,2.707571559573363428e-04,1.209164056262200504e-04,1.905366612934597092e-04,1.039969103364453298e-04,9.615579833506768021e-05,6.463888361882155851e-05,7.864844086238290555e-05,1.680001292273675725e-03,3.955081607700318175e-04,5.397358173777312522e-03,3.145058048207022413e-04,1.224174720855983865e-04,1.699398137298127804e-04,8.841863381893856969e-05,8.853308426118629965e-05,7.925017609261186173e-05,1.000000000000000000e+00
7.590450806451609189e+00,-3.627722580645162398e-01,6.227456451612899180e+00,1.967443548387096813e-02,1.976930564516129335e-02,-6.301533709677419048e-03,-5.982867741935486983e-01,-4.327086290322579853e-01,-1.647063709677418775e-01,-3.089729032258065278e+00,9.253411290322580030e+00,-5.825950000000001960e-01,1.605077274193547968e-02,1.767934354838708848e-03,-1.429779077419354207e-02,2.550531451612902401e-01,-4.270600806451611553e-01,5.689472580645162925e-01,-1.101328064516129135e-01,-9.315665322580645835e+00,3.107525806451612471e+00,5.277138362903226361e-03,-1.194425177419354382e-02,-2.773750701612903366e-02,-5.446419354838710758e-01,5.073050806451614436e-01,-2.601174999999998905e-01,-5.117073387096776393e+00,8.086269354838709233e+00,1.998276612903225002e+00,-3.208503564516131893e-03,8.160423629032258555e-03,-5.715409112903227853e-03,5.196177419354839344e-01,-7.627670161290321660e-02,-4.851785483870968418e-01,-5.153433870967742081e+00,-7.824105645161290923e+00,3.075237096774193102e+00,3.105106435483870591e-03,9.171974999999999746e-04,-9.414396637096771395e-03,6.161541129032256370e-01,3.520290322580645892e-01,3.164970967741936314e-01,5.685674993496349578e-04,4.039793354490114896e-02,2.934157458376694411e-03,8.703491382834186493e-04,2.631540319176294365e-04,5.502742803801843581e-04,5.442145088449531430e-05,1.695293747333506283e-04,9.231675860431840257e-05,2.684768738293443618e-02,1.404325195109262618e-03,7.276598100806449566e-03,6.260601137598410717e-04,2.982980681442020960e-04,1.190255744916080081e-03,1.005116231724766210e-04,1.478765733805931595e-04,9.212716344953173527e-05,2.393010638896447134e-02,2.437438232960458320e-03,1.101398062434964104e-02,4.923980165613343462e-04,5.149181468625369483e-04,1.383614923526030847e-03,1.009578752861602991e-04,1.341962282193028043e-04,1.191660493951612507e-04,4.161645336888685517e-04,1.102982447970862843e-03,1.044699501755984306e-02,6.458268641937296587e-04,3.081324664836311523e-04,1.268604098500629202e-04,6.745998522372534888e-05,7.600630528999738746e-05,5.977551563475544356e-05,1.485705788241415857e-03,1.313412790712801138e-03,4.888513139958373596e-03,4.649331793924422552e-04,2.002416344239543527e-04,1.513019692670666263e-04,1.021921887291883240e-04,8.740566519250784095e-05,8.413471576482831201e-05,1.000000000000000000e+00
7.625647580645157575e+00,-2.838896129032258409e-01,6.195537903225807774e+00,1.606017451612902838e-02,9.793622016129033964e-03,-5.581200725806451102e-03,-6.005011290322579409e-01,-4.366342741935483329e-01,-1.524463709677419676e-01,-2.854972790322579890e+00,9.260049193548386626e+00,-2.250311637096774342e-01,-1.971304130645161745e-01,3.413673327419354808e-01,1.509624243548387257e-01,1.597125483870968365e-01,-4.489048387096771786e-01,5.457727419354838627e-01,-1.138595241935483615e-01,-9.284561290322578486e+00,3.258396774193550005e+00,5.344479919354840070e-02,-1.678668733870968335e-02,-1.011390879032258647e-02,-5.438252419354835387e-01,5.025544354838710204e-01,-2.654064516129033824e-01,-5.127814516129032718e+00,8.115327419354839478e+00,1.965243548387097361e+00,-1.985049516129034058e-03,1.195318258064516359e-02,-6.226862822580646502e-03,5.243451612903223813e-01,-7.684421774193550547e-02,-4.805308064516128352e-01,-5.091771774193547984e+00,-7.802862903225801894e+00,3.227620161290322365e+00,1.860971580645161836e-03,3.858962983870967839e-03,-6.036190241935486707e-03,6.130646774193547754e-01,3.597804838709678377e-01,3.115456451612903521e-01,5.310325236082206156e-03,1.155248936454371031e-02,4.968632998829347960e-03,1.126230156776350131e-03,1.004241535467632592e-03,6.117175737956360168e-04,5.293664711238293475e-05,9.275732931191465807e-05,1.384389682817377810e-04,3.433479368631011663e-01,5.119510615316078539e-01,4.590794596699138697e-01,1.294638493622303210e-01,4.280418422240450660e-01,2.038556258461090565e-01,3.140205938874766206e-02,1.831894284651404588e-03,2.234905123126951481e-03,1.139929643987844590e-02,6.913244656607703265e-02,6.673790627991672830e-02,9.324976304423955240e-03,3.538171391875694874e-04,2.188706007004654675e-04,5.078677655437050827e-05,1.169640456490636445e-04,1.212438470863683664e-04,5.551004344432883047e-04,4.879855385015605877e-04,1.023549877731529936e-03,2.785226120973304095e-04,1.674810310306433644e-04,1.089797489164895887e-04,1.047354411030177249e-04,7.379600550904006544e-05,6.171251547866805952e-05,1.289199929110301270e-03,1.146502172216439224e-03,3.650091448361080307e-03,5.410325660009481430e-04,1.057011313568808134e-03,1.673645706026959036e-04,7.209474586368363211e-05,7.838388847554630652e-05,6.575191006763788184e-05,1.000000000000000000e+00
7.696730645161292017e+00,-1.705794677419355046e-02,6.125425000000000786e+00,-6.952848387096777563e-03,1.031640806451612769e-02,-1.866736096774193610e-02,-5.937700000000001310e-01,-4.525170967741934391e-01,-1.339356451612903343e-01,2.677302419354839813e+00,9.318295967741937247e+00,-2.961327338709677237e-01,2.243413556451613056e-01,3.834944290322581800e-02,7.985861774193545037e-02,-5.119750000000001799e-01,-3.477991935483869534e-01,4.353969354838709283e-01,1.386937811290323286e-01,-9.171633870967744073e+00,3.558316935483870402e+00,7.165667338709675455e-03,-1.832559032258065240e-02,-2.124836620967741549e-02,-5.583566935483870175e-01,4.913666129032258634e-01,-2.607754032258065569e-01,-5.107185483870968490e+00,8.141333870967738306e+00,1.932910483870968754e+00,-4.633215887096775801e-03,6.170031209677422426e-03,-6.593141129032256513e-03,5.253724999999999090e-01,-8.137240322580642504e-02,-4.773754838709678427e-01,-4.856270967741935785e+00,-8.323662903225802268e+00,1.870163387096773544e+00,-1.607109604838709571e-01,-2.222659338709677412e-02,-2.220908830645161591e-02,6.139565322580649021e-01,3.072371774193550231e-01,3.562875806451613614e-01,2.384290996357959092e-03,7.296137370026038738e-03,7.811855584677420555e-03,3.516986442922819239e-03,7.874190769161024247e-04,3.134137626125973824e-04,7.038860322580646847e-05,5.863402221644123283e-05,7.948907135796048570e-05,1.086200271715660748e-01,2.617962549030958819e-01,1.018097689691469521e+00,8.231814372977616645e-02,5.652828499121605524e-03,1.865886503911629371e-02,8.742837266129037475e-04,5.212699705801245899e-03,7.487628389958375782e-04,1.079762478285998563e-02,2.712119981789808554e-03,4.793194793834549064e-03,5.718133575754861565e-04,2.499439259015192216e-04,1.975889078589235963e-04,8.481332374479705935e-05,9.478943207596265844e-05,9.917704257934443124e-05,7.238836602497392483e-04,9.268599817897989115e-04,7.382223841701353838e-03,5.265387624612225285e-04,2.353342840120331775e-04,1.438249182411309695e-04,1.075611284274194108e-04,6.961820932127992380e-05,6.760827476586886453e-05,7.943151899583765496e-02,9.896498717221645369e-02,8.631023153530438252e-01,6.611517267081527816e-02,6.394252531163813896e-03,1.122594116131505433e-03,8.165787910379806568e-05,8.240428509040070675e-04,1.030965884469303359e-03,1.000000000000000000e+00
